2021-08-14 02:21:03,646 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Sat Aug 14 02:21:03 UTC 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-08-14 02:21:04,925 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-08-14 02:21:05,963 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-08-14 02:21:06,541 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-08-14 02:21:06,693 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:a69055853df8-33917-1628907666559-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-08-14 02:21:06,744 | INFO  | Listening for connections at: tcp://a69055853df8:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-08-14 02:21:06,760 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-08-14 02:21:06,775 | INFO  | Listening for connections at: amqp://a69055853df8:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-08-14 02:21:06,785 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2021-08-14 02:21:06,791 | INFO  | Listening for connections at: stomp://a69055853df8:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-08-14 02:21:06,795 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2021-08-14 02:21:06,802 | INFO  | Listening for connections at: mqtt://a69055853df8:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-08-14 02:21:06,804 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2021-08-14 02:21:07,011 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@7b8b43c7{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2021-08-14 02:21:07,056 | INFO  | Listening for connections at ws://a69055853df8:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2021-08-14 02:21:07,058 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2021-08-14 02:21:07,061 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:a69055853df8-33917-1628907666559-0:1) started | org.apache.activemq.broker.BrokerService | main
2021-08-14 02:21:07,065 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2021-08-14 02:21:07,070 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: /data/activemq/kahadb only has 30451 mb of usable space. - resetting to maximum available disk space: 30451 mb | org.apache.activemq.broker.BrokerService | main
2021-08-14 02:21:07,075 | WARN  | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: /data/activemq/localhost only has 30451 mb of usable space. - resetting to maximum available disk space: 30451 mb | org.apache.activemq.broker.BrokerService | main
2021-08-14 02:21:07,588 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2021-08-14 02:21:07,871 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2021-08-14 02:21:07,872 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2021-08-14 02:21:07,928 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2021-08-14 02:21:08,177 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2021-08-14 02:21:08,237 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2021-08-15 08:26:34,272 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Sun Aug 15 08:26:34 UTC 2021]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2021-08-15 08:26:39,479 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2021-08-15 08:26:40,370 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-08-15 08:26:40,813 | INFO  | Recovering from the journal @1:503 | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-08-15 08:26:41,145 | INFO  | Recovery replayed 6231 operations from the journal in 0.686 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2021-08-15 08:26:41,179 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2021-08-15 08:26:41,315 | INFO  | Scheduler Store version 1 loaded | org.apache.activemq.store.kahadb.scheduler.JobSchedulerKahaDBMetaData | main
2021-08-15 08:26:41,459 | INFO  | Recovering from the scheduled job journal @1:28 | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-08-15 08:26:41,465 | INFO  | Recovery replayed 1 operations from the journal in 0.007 seconds. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-08-15 08:26:41,468 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2021-08-15 08:26:41,591 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:a69055853df8-44461-1629016001352-1:1) is starting | org.apache.activemq.broker.BrokerService | main
2021-08-15 08:26:41,810 | INFO  | Listening for connections at: tcp://a69055853df8:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-08-15 08:26:41,815 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2021-08-15 08:26:41,849 | INFO  | Listening for connections at: amqp://a69055853df8:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2021-08-15 08:26:41,859 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
